,,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
132,Cody Drameh,,eng ENG,DF,Leeds United,20-105,2001,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
133,Martin Dubravka,,sk SVK,GK,Newcastle Utd,33-067,1989,17,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
134,Shane Duffy,,ie IRL,DF,Brighton,30-081,1992,16,1,21,5,23.8,1.32,0.31,0.05,0.2,9.3,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
135,Paul Dummett,,wls WAL,DF,Newcastle Utd,30-178,1991,2.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
136,Lewis Dunk,,eng ENG,DF,Brighton,30-122,1991,19.6,1,12,5,41.7,0.61,0.26,0.08,0.2,9.7,0,0,0,0.8,0.8,0.06,0.2,0.2,Matches
137,Ederson,,br BRA,GK,Manchester City,28-218,1993,28,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
138,Odsonne Edouard,,fr FRA,FW,Crystal Palace,24-066,1998,14.1,6,34,14,41.2,2.41,0.99,0.15,0.36,13,0,1,1,6.5,5.7,0.17,-0.5,-0.7,Matches
139,Anthony Elanga,,se SWE,FW,Manchester Utd,19-330,2002,6.1,2,13,4,30.8,2.13,0.65,0.15,0.5,14.5,0,0,0,2.2,2.2,0.17,-0.2,-0.2,Matches
140,Harvey Elliott,,eng ENG,MF,Liverpool,18-353,2003,3.1,0,7,1,14.3,2.23,0.32,0,0,16.3,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
141,Mohamed Elneny,,eg EGY,MF,Arsenal,29-255,1992,2,0,1,0,0,0.51,0,0,,23,0,0,0,0,0,0.02,0,0,Matches
