,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Name,,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Matches
123,Lucas Digne,,fr FRA,DF,Everton,28-258,1993,13,2.54,2.54,1.69,0.69,0.08,0,0.08,0,0,0,0,0,0,0,0,0,Matches
124,Virgil van Dijk,,nl NED,DF,Liverpool,30-270,1991,28,0.68,0.68,0.5,0,0,0.18,0,0,0.18,0.18,0.14,0,0,0.04,0,0,Matches
125,Issa Diop,,fr FRA,DF,West Ham,25-085,1997,9,0.22,0.22,0.22,0,0,0,0,0,0.11,0.11,0.11,0,0,0,0,0,Matches
126,Moussa Djenepo,,ml MLI,MF,Southampton,23-293,1998,4.9,3.27,3.29,2.45,0,0.41,0.2,0.2,0,0.2,0.21,0.2,0,0,0,0,0,Matches
127,Lewis Dobbin,,eng ENG,FWMF,Everton,19-091,2003,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
128,Matt Doherty,,ie IRL,DF,Tottenham,30-078,1992,9.5,2.32,2.32,2,0,0.11,0.21,0,0,0.42,0.42,0.42,0,0,0,0,0,Matches
129,Gabriel Dos Santos,,br BRA,DF,Arsenal,24-106,1997,24.4,0.57,0.57,0.49,0,0,0.04,0,0.04,0.04,0.04,0.04,0,0,0,0,0,Matches
130,Abdoulaye Doucoure,,ml MLI,MF,Everton,29-093,1993,20.7,2.13,2.12,1.93,0,0.05,0.1,0,0.05,0.29,0.29,0.19,0,0.05,0.05,0,0,Matches
131,Kieran Dowell,,eng ENG,MFFW,Norwich City,24-176,1997,4,2.25,2.27,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
132,Cody Drameh,,eng ENG,DF,Leeds United,20-117,2001,1.4,1.43,1.41,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
133,Martin Dubravka,,sk SVK,GK,Newcastle Utd,33-079,1989,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
134,Shane Duffy,,ie IRL,DF,Brighton,30-093,1992,16,0.5,0.5,0.38,0,0,0.13,0,0,0.13,0.13,0.06,0,0,0.06,0,0,Matches
